model,target,horizon_hours,best_MAE,n_trials,n_estimators,learning_rate,num_leaves,max_depth,min_child_samples,subsample,colsample_bytree,reg_alpha,reg_lambda,gamma,min_child_weight
LightGBM,mwd,1,11.46120477091723,5,509,0.0497431857978852,20.0,10,25.0,0.7195154778955838,0.9795542149013332,4.905556676028774,0.1886149587855393,,
LightGBM,mwd,3,23.234774379998093,8,598,0.0232595159224121,73.0,10,26.0,0.9908753883293676,0.9100531293444458,2.854239907497756,1.1309571585271485,,
LightGBM,mwd,6,33.2375773884086,12,203,0.0910032825925859,94.0,12,80.0,0.7222133955202271,0.7433862914177091,1.1036250149900698e-07,0.5860448217200517,,
LightGBM,mwd,9,38.192768441904725,15,798,0.0611589671694322,125.0,12,58.0,0.9806396476436884,0.6966219731921359,0.0010990762418357,0.0184759043950401,,
LightGBM,mwd,12,41.99044976629932,20,697,0.0841678365313759,106.0,12,96.0,0.9380628585461992,0.6845622378341825,0.0108369303829358,2.2568042951080617e-05,,
LightGBM,mwp,1,0.04913505909561,5,509,0.0497431857978852,20.0,10,25.0,0.7195154778955838,0.9795542149013332,4.905556676028774,0.1886149587855393,,
LightGBM,mwp,3,0.1055835783914121,8,425,0.1312583031620965,97.0,10,24.0,0.7467983561008608,0.6232334448672797,0.6245760287469893,0.0025706035661175,,
LightGBM,mwp,6,0.1666153122934603,12,425,0.1312583031620965,97.0,10,24.0,0.7467983561008608,0.6232334448672797,0.6245760287469893,0.0025706035661175,,
LightGBM,mwp,9,0.2031328544137265,15,757,0.1373669452343056,123.0,11,52.0,0.9615462369688978,0.6828922252774745,0.0020781973056227,0.0080361417229257,,
LightGBM,mwp,12,0.2334923887562174,20,757,0.1373669452343056,123.0,11,52.0,0.9615462369688978,0.6828922252774745,0.0020781973056227,0.0080361417229257,,
LightGBM,sst_c,1,0.0749647392550282,5,509,0.0497431857978852,20.0,10,25.0,0.7195154778955838,0.9795542149013332,4.905556676028774,0.1886149587855393,,
LightGBM,sst_c,3,0.0882120333056477,8,509,0.0497431857978852,20.0,10,25.0,0.7195154778955838,0.9795542149013332,4.905556676028774,0.1886149587855393,,
LightGBM,sst_c,6,0.096812527196595,12,798,0.0575512091376857,46.0,14,58.0,0.8845640839188065,0.9867645281621888,0.0014860335400091,0.0174753246945105,,
LightGBM,sst_c,9,0.1170112894980665,15,798,0.0575512091376857,46.0,14,58.0,0.8845640839188065,0.9867645281621888,0.0014860335400091,0.0174753246945105,,
LightGBM,sst_c,12,0.1405933093091412,20,798,0.0575512091376857,46.0,14,58.0,0.8845640839188065,0.9867645281621888,0.0014860335400091,0.0174753246945105,,
LightGBM,swh,1,0.0169502721510355,5,509,0.0497431857978852,20.0,10,25.0,0.7195154778955838,0.9795542149013332,4.905556676028774,0.1886149587855393,,
LightGBM,swh,3,0.0429951739640197,8,425,0.1312583031620965,97.0,10,24.0,0.7467983561008608,0.6232334448672797,0.6245760287469893,0.0025706035661175,,
LightGBM,swh,6,0.0716035160586899,12,425,0.1312583031620965,97.0,10,24.0,0.7467983561008608,0.6232334448672797,0.6245760287469893,0.0025706035661175,,
LightGBM,swh,9,0.0868821536578372,15,757,0.1373669452343056,123.0,11,52.0,0.9615462369688978,0.6828922252774745,0.0020781973056227,0.0080361417229257,,
LightGBM,swh,12,0.0982957933742921,20,757,0.1373669452343056,123.0,11,52.0,0.9615462369688978,0.6828922252774745,0.0020781973056227,0.0080361417229257,,
LightGBM,t2m_c,1,0.3240743648054026,5,425,0.1312583031620965,97.0,10,24.0,0.7467983561008608,0.6232334448672797,0.6245760287469893,0.0025706035661175,,
LightGBM,t2m_c,3,0.6349886406427874,8,425,0.1312583031620965,97.0,10,24.0,0.7467983561008608,0.6232334448672797,0.6245760287469893,0.0025706035661175,,
LightGBM,t2m_c,6,0.8983487573017208,12,425,0.1312583031620965,97.0,10,24.0,0.7467983561008608,0.6232334448672797,0.6245760287469893,0.0025706035661175,,
LightGBM,t2m_c,9,0.9241205642616735,15,757,0.1373669452343056,123.0,11,52.0,0.9615462369688978,0.6828922252774745,0.0020781973056227,0.0080361417229257,,
LightGBM,t2m_c,12,0.993750624544828,20,757,0.1373669452343056,123.0,11,52.0,0.9615462369688978,0.6828922252774745,0.0020781973056227,0.0080361417229257,,
LightGBM,tcc,1,0.0834018872752957,5,425,0.1312583031620965,97.0,10,24.0,0.7467983561008608,0.6232334448672797,0.6245760287469893,0.0025706035661175,,
LightGBM,tcc,3,0.1432034087347499,8,425,0.1312583031620965,97.0,10,24.0,0.7467983561008608,0.6232334448672797,0.6245760287469893,0.0025706035661175,,
LightGBM,tcc,6,0.1688067976005937,12,425,0.1312583031620965,97.0,10,24.0,0.7467983561008608,0.6232334448672797,0.6245760287469893,0.0025706035661175,,
LightGBM,tcc,9,0.1587981583338878,15,757,0.1373669452343056,123.0,11,52.0,0.9615462369688978,0.6828922252774745,0.0020781973056227,0.0080361417229257,,
LightGBM,tcc,12,0.1630154844469205,20,757,0.1373669452343056,123.0,11,52.0,0.9615462369688978,0.6828922252774745,0.0020781973056227,0.0080361417229257,,
LightGBM,wind_speed_ms,1,0.2522582486630351,5,425,0.1312583031620965,97.0,10,24.0,0.7467983561008608,0.6232334448672797,0.6245760287469893,0.0025706035661175,,
LightGBM,wind_speed_ms,3,0.4509805266747744,8,425,0.1312583031620965,97.0,10,24.0,0.7467983561008608,0.6232334448672797,0.6245760287469893,0.0025706035661175,,
LightGBM,wind_speed_ms,6,0.5839643801307445,12,425,0.1312583031620965,97.0,10,24.0,0.7467983561008608,0.6232334448672797,0.6245760287469893,0.0025706035661175,,
LightGBM,wind_speed_ms,9,0.6073812501821849,15,757,0.1373669452343056,123.0,11,52.0,0.9615462369688978,0.6828922252774745,0.0020781973056227,0.0080361417229257,,
LightGBM,wind_speed_ms,12,0.642735273086745,20,757,0.1373669452343056,123.0,11,52.0,0.9615462369688978,0.6828922252774745,0.0020781973056227,0.0080361417229257,,
